industry_id,theme_id,Industry,Theme,Companies_Count,Filename,Match_Info
CR,FRA,Consumer and Retail,Franchise Model,35,franchise_model.csv,Exact
CR,SPE,Consumer and Retail,Specialty Foods,33,specialized_foods.csv,Fuzzy (81)
CR,HEA,Consumer and Retail,Health-conscious Branding,31,healthconscious_brand.csv,Fuzzy (93)
CR,FOO,Consumer and Retail,Food Delivery,29,food_delivery.csv,Exact
CR,BE1,Consumer and Retail,Beverage Innovation,24,innovation_in_beverages.csv,Fuzzy (86)
CR,DIS,Consumer and Retail,Discount Retail,20,discount_retail.csv,Exact
CR,ON2,Consumer and Retail,Online Marketplace,19,online_games.csv,Fuzzy (86)
CR,ORG,Consumer and Retail,Organic Products,19,organic_products.csv,Exact
CR,FO1,Consumer and Retail,Food Ingredients,17,food_ingredients.csv,Exact
CR,FO2,Consumer and Retail,Footwear Innovation,16,innovation_in_footwear.csv,Fuzzy (95)
CR,SPO,Consumer and Retail,Sporting Goods Retail,15,retail_sporting_goods.csv,Fuzzy (95)
CR,FAS,Consumer and Retail,Fast Food Leader,14,fast_food_leader.csv,Exact
CR,PLA,Consumer and Retail,Plant-based Alternatives,11,plantbased_alternatives.csv,Exact
CR,CO6,Consumer and Retail,Consumer-to-consumer,10,consumer_to_consumer.csv,Fuzzy (95)
CR,PL1,Consumer and Retail,Plant-based Products,9,plantbased_products.csv,Exact
CR,SUS,Consumer and Retail,Sustainable Ingredients,9,sustainable_ingredients.csv,Exact
DA,AER,Defense and Aerospace,Aerospace Defense,75,aerospace_defense.csv,Exact
DA,DEF,Defense and Aerospace,Defense Contracting,75,defense_contracting.csv,Exact
DA,DE1,Defense and Aerospace,Defense Technology,75,defense_technology.csv,Exact
DA,MIL,Defense and Aerospace,Military Applications,59,military_applications.csv,Exact
DA,AVI,Defense and Aerospace,Aviation Systems,53,aviation_systems.csv,Exact
DA,DE2,Defense and Aerospace,Defense Electronics,45,defense_electronics.csv,Exact
DA,SPA,Defense and Aerospace,Space Exploration,41,space_exploration.csv,Exact
DA,MIS,Defense and Aerospace,Missile Defense,32,missile_defense.csv,Exact
DA,AV1,Defense and Aerospace,Aviation Safety,31,aviation_security.csv,Fuzzy (81)
DA,DE3,Defense and Aerospace,Defense Drones,27,defense_drones.csv,Exact
DA,UNM,Defense and Aerospace,Unmanned Systems,25,unmanned_systems.csv,Exact
DA,AV2,Defense and Aerospace,Aviation Finance,13,aviation_financing.csv,Fuzzy (88)
EU,CLE,Energy and Utilities,Clean Energy,75,clean_energy.csv,Exact
EU,CL1,Energy and Utilities,Clean Energy,75,clean_energy_technology.csv,Fuzzy (90)
EU,ELE,Energy and Utilities,Electricity Generation,75,electricity_generation.csv,Exact
EU,ENE,Energy and Utilities,Energy Efficiency,75,energy_efficiency.csv,Exact
EU,EN1,Energy and Utilities,Energy Infrastructure,75,energy_infrastructure.csv,Exact
EU,EN2,Energy and Utilities,Energy Investments,75,energy_investments.csv,Exact
EU,EN3,Energy and Utilities,Energy Sector,75,energy_sector.csv,Exact
EU,EN4,Energy and Utilities,Energy Sector Supply,75,energy_sector_supply.csv,Exact
EU,EN5,Energy and Utilities,Energy Solutions,75,energy_solutions.csv,Exact
EU,EN6,Energy and Utilities,Energy Storage,75,energy_storage.csv,Exact
EU,EN7,Energy and Utilities,Energy Transition,75,energy_transition.csv,Exact
EU,HYD,Energy and Utilities,Hydrocarbon Production,75,hydrocarbon_production.csv,Exact
EU,REN,Energy and Utilities,Renewable Energy Integration,75,integration_of_renewable_energy.csv,Fuzzy (95)
EU,NAT,Energy and Utilities,Natural Gas,75,natural_gas.csv,Exact
EU,NA1,Energy and Utilities,Natural Gas Infrastructure,75,natural_gas_infrastructure.csv,Exact
EU,OIL,Energy and Utilities,Oil & Gas Services,75,oil_and_gas_services.csv,Fuzzy (95)
EU,EN8,Energy and Utilities,Energy Services,75,public_services_infrastructure.csv,Fuzzy (86)
EU,RE1,Energy and Utilities,Renewable Energy,75,renewable_energy.csv,Exact
EU,CLI,Energy and Utilities,Climate Tech,74,climate_technology.csv,Fuzzy (90)
EU,CL2,Energy and Utilities,Clean Energy,70,compliance_with_energy_policies.csv,Fuzzy (86)
EU,OI1,Energy and Utilities,Oil Production,68,oil_production.csv,Exact
EU,EL1,Energy and Utilities,Electricity Transmission,66,electricity_transmission.csv,Exact
EU,NA2,Energy and Utilities,Natural Gas Production,64,natural_gas_production.csv,Exact
EU,GAS,Energy and Utilities,Gas Distribution Networks,62,data_networks.csv,Fuzzy (86)
EU,ENE_10,Energy and Utilities,Energy Services,60,energy_services.csv,Exact
EU,LNG,Energy and Utilities,LNG Projects,60,lng_projects.csv,Exact
EU,GA1,Energy and Utilities,Gas Distribution Networks,59,gas_distribution_networks.csv,Exact
EU,WIN,Energy and Utilities,Wind Energy,59,wind_energy.csv,Exact
EU,BAT,Energy and Utilities,Battery Technology,58,battery_technology.csv,Exact
EU,UTI,Energy and Utilities,Utility-scale Projects,56,utilityscale_projects.csv,Exact
EU,BA1,Energy and Utilities,Battery Materials,48,agricultural_raw_materials.csv,Fuzzy (86)
EU,ENE_11,Energy and Utilities,Energy Consultancy,48,solar_energy.csv,Fuzzy (86)
EU,ENE_12,Energy and Utilities,Energy Exports,46,energy_exports.csv,Exact
EU,ENE_13,Energy and Utilities,Energy Exploration,45,energy_exploration.csv,Exact
EU,HY1,Energy and Utilities,Hydrocarbon Exploration,37,hydrocarbon_exploration.csv,Exact
EU,ENE_14,Energy and Utilities,Energy Services,37,sustainable_public_services.csv,Fuzzy (86)
EU,CL3,Energy and Utilities,Clean Energy,36,utility_scale_solar_energy.csv,Fuzzy (86)
EU,SHA,Energy and Utilities,Shale Gas,34,shale_gas.csv,Exact
EU,CAR,Energy and Utilities,Carbon Capture,33,carbon_capture.csv,Exact
EU,MIC,Energy and Utilities,Microgrid Solutions,32,microgrid_solutions.csv,Exact
EU,COA,Energy and Utilities,Coal & Consumable Fuels,31,coal_and_consumable_fuels.csv,Fuzzy (95)
EU,OI2,Energy and Utilities,Oil Exploration,31,oil_exploration.csv,Exact
EU,HY2,Energy and Utilities,Hydrogen Fuel Technology,29,hydrogen_fuel_technology.csv,Exact
EU,OFF,Energy and Utilities,Offshore Oil,27,offshore_oil.csv,Exact
EU,RE2,Energy and Utilities,Renewable Energy Equipment,26,renewable_energy_equipment.csv,Exact
EU,BA2,Energy and Utilities,Battery Materials,20,battery_materials.csv,Exact
EU,ENE_15,Energy and Utilities,Energy Consultancy,12,energy_consulting.csv,Fuzzy (86)
EU,BA3,Energy and Utilities,Battery Recycling,3,battery_recycling.csv,Exact
EU,BA4,Energy and Utilities,Battery Swap Technology,1,battery_swap_technology.csv,Exact
EM,STR,Entertainment and Media,Streaming Platforms & Services,75,public_services.csv,Fuzzy (86)
EM,DIG,Entertainment and Media,Digital Entertainment,63,digital_entertainment.csv,Exact
EM,ENT,Entertainment and Media,Entertainment Industry,56,entertainment_industry.csv,Exact
EM,EN1,Entertainment and Media,Entertainment Services,44,entertainment_services.csv,Exact
EM,ST1,Entertainment and Media,Streaming Platforms & Services,40,streaming_platforms_and_services.csv,Fuzzy (95)
EM,SPO,Entertainment and Media,Sports Entertainment,39,sports_entertainment.csv,Exact
EM,RES,Entertainment and Media,Resort Destinations,37,resort_destinations.csv,Exact
EM,EN2,Entertainment and Media,Entertainment Resorts,35,entertainment_resorts.csv,Exact
EM,MED,Entertainment and Media,Media Broadcasting,33,media_broadcasting.csv,Exact
EM,ME1,Entertainment and Media,Media Diversification,33,media_diversification.csv,Exact
EM,GAM,Entertainment and Media,Gaming Industry,31,gaming_industry.csv,Exact
EM,ESP,Entertainment and Media,Esports And Gaming,24,esports_and_gaming.csv,Exact
EM,ST2,Entertainment and Media,Streaming Platforms & Services,24,full_load_services.csv,Fuzzy (86)
EM,VID,Entertainment and Media,Video Games,23,video_games.csv,Exact
EM,VI1,Entertainment and Media,Video Games,22,video_game_technology.csv,Fuzzy (86)
EM,AUD,Entertainment and Media,Audio Solutions,21,audio_solutions.csv,Exact
EM,INT,Entertainment and Media,Interactive Entertainment,20,interactive_entertainment.csv,Exact
EM,ME2,Entertainment and Media,Media Networks,19,media_networks.csv,Exact
EM,ORI,Entertainment and Media,Original Content,19,original_content.csv,Exact
EM,CAS,Entertainment and Media,Casino Gaming,18,casino_games.csv,Fuzzy (80)
EM,SOC,Entertainment and Media,Social Networking,17,social_networking_platforms.csv,Fuzzy (90)
EM,SP1,Entertainment and Media,Sports Franchises,16,sports_franchises.csv,Exact
EM,GA1,Entertainment and Media,Gaming Hardware,15,gaming_hardware.csv,Exact
EM,TRA,Entertainment and Media,Travel Platform,15,travel_platform.csv,Exact
EM,FIL,Entertainment and Media,Film Production,11,film_production.csv,Exact
EM,SO1,Entertainment and Media,Social Networking,11,social_networks.csv,Fuzzy (88)
EM,MUS,Entertainment and Media,Music Production,7,music_production.csv,Exact
EM,THE,Entertainment and Media,Theme Parks,5,theme_parks.csv,Exact
FI,ALT,Financials,Alternative Investments,75,alternative_investments.csv,Exact
FI,BAN,Financials,Banking Services,75,banking_services.csv,Exact
FI,CAP,Financials,Capital Markets,75,capital_markets.csv,Exact
FI,COM,Financials,Commercial Banking,75,commercial_banking.csv,Exact
FI,CON,Financials,Consumer Banking,75,consumer_banking.csv,Exact
FI,CO1,Financials,Consumer Finance,75,consumer_finance.csv,Exact
FI,CO2,Financials,Consumer Loans,75,consumer_loans.csv,Exact
FI,DIG,Financials,Digital Banking Expansion,75,expansion_of_digital_banking.csv,Fuzzy (95)
FI,FIN,Financials,Financial Products,75,financial_products.csv,Exact
FI,FI1,Financials,Financial Services,75,financial_services.csv,Exact
FI,FI2,Financials,Financial Services,75,financial_services_for_smes.csv,Fuzzy (90)
FI,FI3,Financials,Fintech Solutions,75,fintech_solutions.csv,Exact
FI,INS,Financials,Insurance Products,75,insurance_products.csv,Exact
FI,IN1,Financials,Insurance Services,75,insurance_services.csv,Exact
FI,IN2,Financials,Insurance Solutions,75,insurance_solutions.csv,Exact
FI,INV,Financials,Investment Management,75,investment_management.csv,Exact
FI,LOA,Financials,Loan Origination,75,loan_origination.csv,Exact
FI,MOR,Financials,Mortgage Banking,75,mortgage_banking.csv,Exact
FI,MO1,Financials,Mortgage Financing Services,75,mortgage_financing_services.csv,Exact
FI,PAY,Financials,Payment Solutions,75,payment_solutions.csv,Exact
FI,WEA,Financials,Wealth Management Services,75,wealth_management_services.csv,Exact
FI,PRI,Financials,Private Equity,65,private_equity.csv,Exact
FI,ESG,Financials,ESG Investments,58,esg_investments.csv,Exact
FI,WE1,Financials,Wealth Management Services,53,hotel_management.csv,Fuzzy (86)
FI,BA1,Financials,Banking Technology,51,banking_technology.csv,Exact
FI,REI,Financials,Reinsurance,49,reinsurance.csv,Exact
FI,ONL,Financials,Online Banking,47,online_banking.csv,Exact
FI,CRE,Financials,Credit Services,40,credit_services.csv,Exact
FI,FI4,Financials,Financial Marketplaces,40,financial_markets.csv,Fuzzy (87)
FI,DEP,Financials,Deposit Services,39,deposit_services.csv,Exact
FI,DI1,Financials,Digital Wallets,36,digital_wallets.csv,Exact
FI,CRY,Financials,Cryptocurrency Trading,33,cryptocurrency_trading.csv,Exact
FI,RET,Financials,Retail Banking Innovation,33,innovation_in_retail_banking.csv,Fuzzy (95)
FI,DI2,Financials,Digital Wallets,32,commitment_to_digital_health.csv,Fuzzy (86)
FI,GRE,Financials,Green Bonds,31,green_bonds.csv,Exact
FI,SOC,Financials,Socially Responsible Investing,31,socially_responsible_investment.csv,Fuzzy (92)
FI,MOB,Financials,Mobile Payments,30,mobile_payments.csv,Exact
FI,IN3,Financials,Investment Banking,25,investment_banking.csv,Exact
FI,VEN,Financials,Venture Capital,21,venture_capital.csv,Exact
FI,MO2,Financials,Mortgage REIT,20,mortgage_reit.csv,Exact
FI,SUS,Financials,Sustainable Finance,20,sustainable_finance.csv,Exact
FI,MO3,Financials,Mobile Payments,17,mobile_games.csv,Fuzzy (81)
FI,OPE,Financials,Open Banking Solutions,14,open_banking_solutions.csv,Exact
FI,DEC,Financials,Decentralized Finance,4,decentralized_finance.csv,Exact
HE,BIO,Health,Biologic Drugs,75,biological_drugs.csv,Fuzzy (93)
HE,BI1,Health,Biologics Solutions,75,biological_solutions.csv,Fuzzy (92)
HE,PHA,Health,Pharmaceuticals,75,biopharmaceutical_alliances.csv,Fuzzy (84)
HE,BI2,Health,Biopharmaceutical Manufacturing,75,biopharmaceutical_manufacturing.csv,Exact
HE,BI3,Health,Biotech Treatments,75,biotechnological_treatments.csv,Fuzzy (86)
HE,CLI,Health,Clinical Trials,75,clinical_trials.csv,Exact
HE,DRU,Health,Drug Development,75,drug_development.csv,Exact
HE,HEA,Health,Healthcare Solutions,75,healthcare_solutions.csv,Exact
HE,HE1,Health,Healthcare Services,75,health_care_services.csv,Fuzzy (97)
HE,LIF,Health,Life Sciences,75,life_sciences.csv,Exact
HE,MED,Health,Medical Devices,75,medical_devices.csv,Exact
HE,ONC,Health,Oncology Research,75,oncology_research.csv,Exact
HE,PH1,Health,Pharmaceuticals,75,pharmaceuticals.csv,Exact
HE,NEU,Health,Neuroscience,71,neuroscience.csv,Exact
HE,IMM,Health,Immunology,70,immunology.csv,Exact
HE,DR1,Health,Drug Commercialization,66,drug_marketing.csv,Fuzzy (86)
HE,CAR,Health,Cardiovascular Disease,62,cardiovascular_disease.csv,Exact
HE,ME1,Health,Medical Innovation,58,medical_innovation.csv,Exact
HE,HE2,Health,Healthcare Diagnostics,57,healthcare_diagnosis.csv,Fuzzy (95)
HE,HE3,Health,Healthcare Automation,54,healthcare_automation.csv,Exact
HE,BI4,Health,Biotechnology Leader,54,leader_in_biotechnology.csv,Fuzzy (95)
HE,HE4,Health,Healthcare Materials,50,health_care_materials.csv,Fuzzy (98)
HE,GEN,Health,Genetic Medicines,49,genetic_medications.csv,Fuzzy (89)
HE,ME2,Health,Medical Supplies,46,medical_supplies.csv,Exact
HE,CON,Health,Consumer Health Products,45,consumer_health_products.csv,Exact
HE,PER,Health,Personalized Medicine,45,personalized_medicine.csv,Exact
HE,GE1,Health,Gene Therapy,36,gene_therapy.csv,Exact
HE,GE2,Health,Genomic Medicine,30,genomic_medicine.csv,Exact
HE,MEN,Health,Mental Health Services,30,mental_health_services.csv,Exact
HE,PAI,Health,Pain Management,30,pain_management.csv,Exact
HE,PE1,Health,Personal Care Products,30,personal_care_products.csv,Exact
HE,HE5,Health,Healthcare Monitoring,27,health_care_monitoring.csv,Fuzzy (98)
HE,HE6,Health,Healthcare Retail,25,healthcare_retail.csv,Exact
HE,TEL,Health,Telehealth,25,telehealth.csv,Exact
HE,DIA,Health,Diabetes Treatments,21,diabetes_treatments.csv,Exact
HE,PET,Health,Pet Care Products,21,pet_care_products.csv,Exact
HE,NUT,Health,Nutraceuticals,20,nutraceuticals.csv,Exact
HE,TE1,Health,Telemedicine,19,telemedicine.csv,Exact
HE,ME3,Health,Medical Imaging AI,17,medical_imaging_ai.csv,Exact
HE,OBE,Health,Obesity Treatments,17,treatments_for_obesity.csv,Fuzzy (95)
HE,BI5,Health,Biosimilars,16,biosimilars.csv,Exact
HE,SUR,Health,Surgical Robotics,15,surgical_robotics.csv,Exact
HE,REG,Health,Regenerative Medicine,12,regenerative_medicine.csv,Exact
HE,BI6,Health,Biopharma Royalties,10,biopharma_royalties.csv,Exact
HE,PH2,Health,Pharmacy Benefit Management,9,pharmacy_benefit_management.csv,Exact
HE,CRI,Health,CRISPR Technology,6,crispr_technology.csv,Exact
HE,GE3,Health,Gene Editing,6,genetic_editing.csv,Fuzzy (89)
HE,DIG,Health,Digital Therapeutics,1,digital_therapies.csv,Fuzzy (86)
HO,HOS,Hospitality,Hospitality Industry,75,hospitality_industry.csv,Exact
HO,FOO,Hospitality,Foodservice Solutions,54,food_service_solutions.csv,Fuzzy (98)
HO,HOT,Hospitality,Hotel Operations,40,hotel_operations.csv,Exact
HO,LUX,Hospitality,Luxury Hotels,29,luxury_hotels.csv,Exact
IN,AER,Industrial,Aerospace Manufacturing,75,aerospace_manufacturing.csv,Exact
IN,ELE,Industrial,Electrical Components & Equipment,75,automobile_components.csv,Fuzzy (86)
IN,CIV,Industrial,Civil Infrastructure,75,civil_infrastructure.csv,Exact
IN,CON,Industrial,Construction Services,75,construction_services.csv,Exact
IN,EL1,Industrial,Electrical Components & Equipment,75,electrical_components_and_equipment.csv,Fuzzy (96)
IN,EL2,Industrial,Electrical Components & Equipment,75,electrical_service.csv,Fuzzy (86)
IN,ENV,Industrial,Environmental Technologies,75,environmental_technologies.csv,Exact
IN,IND,Industrial,Industrial Applications,75,industrial_applications.csv,Exact
IN,IN1,Industrial,Industrial Automation,75,industrial_automation.csv,Exact
IN,IN2,Industrial,Industrial Diversification,75,industrial_diversification.csv,Exact
IN,IN3,Industrial,Industrial Products,75,industrial_products.csv,Exact
IN,IN4,Industrial,Industrial Technologies,75,industrial_technologies.csv,Exact
IN,INF,Industrial,Infrastructure Development,75,infrastructure_development.csv,Exact
IN,SMA,Industrial,Smart Infrastructure,75,smart_infrastructure.csv,Exact
IN,CO1,Industrial,Construction Materials,72,construction_materials.csv,Exact
IN,IN5,Industrial,Industrial Machinery,67,industrial_machinery.csv,Exact
IN,ENG,Industrial,Engineering Services,64,engineering_services.csv,Exact
IN,SUS,Industrial,Sustainable Products,58,sustainable_products.csv,Exact
IN,CHE,Industrial,Chemical Manufacturing,56,chemical_manufacturing.csv,Exact
IN,MAN,Industrial,Manufacturing,54,manufacturing_of_electronic_products.csv,Fuzzy (90)
IN,WAT,Industrial,Water Treatment,54,water_treatment.csv,Exact
IN,IN6,Industrial,Industrial Electronics,52,industrial_electronics.csv,Exact
IN,IN7,Industrial,Industrial Digitization,44,industrial_digitalization.csv,Fuzzy (96)
IN,AE1,Industrial,Aerospace Materials,41,aerospace_materials.csv,Exact
IN,BEV,Industrial,Beverage Manufacturing,40,beverage_manufacturing.csv,Exact
IN,SU1,Industrial,Sustainable Infrastructure,40,sustainable_infrastructure.csv,Exact
IN,FOO,Industrial,Food Processing,39,food_processing.csv,Exact
IN,IN8,Industrial,Industrial Chemicals,39,industrial_chemicals.csv,Exact
IN,MA1,Industrial,Manufacturing,39,metal_manufacturing.csv,Fuzzy (95)
IN,MA2,Industrial,Manufacturing,38,clothing_manufacturing.csv,Fuzzy (90)
IN,IND_10,Industrial,Industrial Supplies,38,industrial_supplies.csv,Exact
IN,REC,Industrial,Recycling Services,38,recycling_services.csv,Exact
IN,IND_11,Industrial,Industrial Distribution,36,industrial_distribution.csv,Exact
IN,CIR,Industrial,Circular Economy,35,circular_economy.csv,Exact
IN,HEA,Industrial,Heavy Industry Supply,34,heavy_industry_supply.csv,Exact
IN,CO2,Industrial,Construction Technology,33,construction_technology.csv,Exact
IN,IND_12,Industrial,Industrial Sensors,33,industrial_sensors.csv,Exact
IN,CHI,Industrial,Chip Manufacturing,32,chip_manufacturing.csv,Exact
IN,IND_13,Industrial,Industrial Software,29,industrial_software.csv,Exact
IN,STE,Industrial,Steel Industry,29,steel_industry.csv,Exact
IN,NAN,Industrial,Nanotechnology Applications,25,nanotechnology_applications.csv,Exact
IN,FOR,Industrial,Forest Products,21,forest_products.csv,Exact
IN,IND_14,Industrial,Industrial Coatings,19,industrial_coatings.csv,Exact
IN,PAP,Industrial,Paper Products,19,paper_products.csv,Exact
IN,AGR,Industrial,Agricultural Chemicals,17,agricultural_chemicals.csv,Exact
IN,IND_15,Industrial,Industrial Fasteners,17,industrial_fasteners.csv,Exact
IN,WAS,Industrial,Waste Management,16,waste_management.csv,Exact
IN,IND_16,Industrial,Industrial Gas Turbine,11,industrial_gas_turbine.csv,Exact
IN,MET,Industrial,Metal Recycling Technology,10,metal_recycling_technology.csv,Exact
IN,ST1,Industrial,Steel Recycling Leader,9,leader_in_steel_recycling.csv,Fuzzy (95)
IN,IND_17,Industrial,Industrial Prototyping,7,industrial_prototyping.csv,Exact
MM,MIN,Materials and Mining,Mineral Reserves,31,mineral_reserves.csv,Exact
MM,BIO,Materials and Mining,Bioplastics & Sustainable Packaging,25,bioplastics_and_sustainable_packaging.csv,Fuzzy (96)
MM,MI1,Materials and Mining,Mining Innovation,21,innovation_in_mining.csv,Fuzzy (95)
MM,CRI,Materials and Mining,Critical Minerals,20,critical_minerals.csv,Exact
MM,MI2,Materials and Mining,Mining Equipment,20,mining_equipment.csv,Exact
MM,MI3,Materials and Mining,Mining Services,20,mining_services.csv,Exact
MM,PRE,Materials and Mining,Precious Metals,19,precious_metals.csv,Exact
MM,MI4,Materials and Mining,Mining Exploration,18,mining_exploration.csv,Exact
MM,ALU,Materials and Mining,Aluminum Production,14,aluminum_production.csv,Exact
MM,GOL,Materials and Mining,Gold Production,13,gold_production.csv,Exact
MM,COP,Materials and Mining,Copper Mining,11,copper_mining.csv,Exact
MM,MI5,Materials and Mining,Mining Equipment,8,agricultural_equipment_iot.csv,Fuzzy (86)
MM,LIT,Materials and Mining,Lithium Production,7,lithium_production.csv,Exact
MM,IRO,Materials and Mining,Iron Ore Mining,6,iron_mining.csv,Fuzzy (95)
MM,RAR,Materials and Mining,Rare Earth Elements,5,rare_earth_elements.csv,Exact
TE,DAT,Technology,Data Centers,75,data_centers.csv,Exact
TE,OPT,Technology,Optoelectronics,46,optoelectronics.csv,Exact
TE,SMA,Technology,Smartphones,40,smart_phones.csv,Fuzzy (96)
TE,MEM,Technology,Memory Chips,31,memory_chips.csv,Exact
TE,PCM,Technology,PC Manufacturing,27,pc_manufacturing.csv,Exact
TE,PRO,Technology,Professional Visualization,15,professional_visualization.csv,Exact
TE,SYN,Technology,Synthetic Biology,5,synthetic_biology.csv,Exact
PS,CON,Professional Services,Consulting Services,74,consulting_services.csv,Exact
PS,MAR,Professional Services,Marketing Services,60,marketing_services.csv,Exact
RE,COM,Real Estate,Commercial Real Estate,75,commercial_real_estate.csv,Exact
RE,CO1,Real Estate,Commercial Real Estate,75,estate.csv,Fuzzy (90)
RE,URB,Real Estate,Urban Housing,75,housing_construction.csv,Fuzzy (86)
RE,MUL,Real Estate,Multi-Family Residential,75,multifamily_residential.csv,Exact
RE,PRO,Real Estate,Property Leasing,75,property_leasing.csv,Exact
RE,PR1,Real Estate,Property Management,75,property_management.csv,Exact
RE,REA,Real Estate,Real Estate Development,75,real_estate_development.csv,Exact
RE,RE1,Real Estate,Real Estate Investment Trust,75,real_estate_investment_fund.csv,Fuzzy (87)
RE,RES,Real Estate,Residential Real Estate,75,residential_real_estate.csv,Exact
RE,UR1,Real Estate,Urban Real Estate,71,urban_real_estate.csv,Exact
RE,AFF,Real Estate,Affordable Housing,63,affordable_housing.csv,Exact
RE,UR2,Real Estate,Urban Property Development,61,urban_property_development.csv,Exact
RE,PR2,Real Estate,Property Redevelopment,59,property_redevelopment.csv,Exact
RE,UR3,Real Estate,Urban Real Estate,56,real_estate_market_resilience.csv,Fuzzy (86)
RE,ENE,Real Estate,Energy-efficient Homes,37,energy_efficient_homes.csv,Fuzzy (98)
RE,RET,Real Estate,Retail REIT,37,retail_reit.csv,Exact
RE,RE2,Real Estate,Residential REIT,34,residential_reit.csv,Exact
RE,UR4,Real Estate,Urban Property Development,31,urban_transport.csv,Fuzzy (86)
