ID,SECTOR,TENDENCIA
438,Defensa y Aeroespacial,Aviation Finance
439,Defensa y Aeroespacial,Aviation Safety
440,Defensa y Aeroespacial,Aviation Systems
441,Defensa y Aeroespacial,Defense Contracting
442,Defensa y Aeroespacial,Defense Drones
443,Defensa y Aeroespacial,Defense Electronics
444,Defensa y Aeroespacial,Defense Technology
445,Defensa y Aeroespacial,Military Applications
446,Defensa y Aeroespacial,Missile Defense
447,Defensa y Aeroespacial,Space Exploration
448,Defensa y Aeroespacial,Unmanned Systems
449,Telecomunicaciones,5G Infrastructure
450,Telecomunicaciones,5G Rollout
451,Telecomunicaciones,5G Technology Support
452,Telecomunicaciones,Broadband Services
453,Telecomunicaciones,Fiber Optic Communications
454,Telecomunicaciones,Satellite Communications
455,Telecomunicaciones,Satellite Technology
456,Telecomunicaciones,Telecommunications Equipment
457,Telecomunicaciones,Telecommunications Infrastructure
458,Telecomunicaciones,Wireless Infrastructure
459,Telecomunicaciones,Wireless Services
460,Automotriz,Automobile Manufacturers
461,Automotriz,Automotive Displays
462,Automotriz,Automotive Electronics
463,Automotriz,Automotive Semiconductors
464,Automotriz,Automotive Sensors
465,Automotriz,Automotive Steel Products
466,Automotriz,Automotive Telematics
467,Hospitalidad,Foodservice Solutions
468,Hospitalidad,Hospitality Industry
469,Hospitalidad,Hospitality Management
470,Hospitalidad,Hotel Operations
471,Hospitalidad,Luxury Hotels
472,Servicios Profesionales,Consulting Services
473,Servicios Profesionales,Marketing Services
474,Otros,Data Centers
475,Otros,Memory Chips
476,Otros,Optoelectronics
477,Otros,PC Manufacturing
478,Otros,Professional Visualization
479,Otros,Smartphones
480,Otros,Synthetic Biology
