symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,navigable,evidenceSources,theme_id
IEX,industrial,industrial_diversification,US45167R1041,IDEX CORP,26,"Opera una cartera diversificada de negocios industriales especializados, proporcionando componentes críticos y soluciones de ingeniería en una amplia gama de mercados finales.","IDEX tiene como objetivo mejorar su potencial de crecimiento a través de la integración, apuntando a mercados donde los clientes requieren soluciones integrales que una sola unidad de negocio no puede proporcionar. Esta estrategia implica la construcción de plataformas globales integradas con tecnologías de clase mundial, como la plataforma IDEX Health and Science, que ha ampliado sus capacidades a través de la asignación estratégica de capital y adquisiciones. Si bien IDEX opera en múltiples segmentos y ha experimentado menores volúmenes en algunos negocios industriales, su enfoque en la integración y la expansión a diversos mercados subraya su participación en la diversificación industrial.",8377,USD,SMART,STK,True,"[{'name': 'iex-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iex-Q125-10-Q.html'}]",IN2
AEIS,industrial,industrial_diversification,US0079731008,ADVANCED ENERGY INDUSTRIES,27,"Suministra soluciones energéticas avanzadas y tecnologías de control de potencia a una amplia gama de aplicaciones industriales, lo que ilustra su amplia diversificación de mercado.","El compromiso de Advanced Energy con la Diversificación Industrial es evidente a través de su estrategia comercial centrada en mercados objetivo distintos para garantizar una rentabilidad constante y mitigar el riesgo cíclico, como lo demuestra su éxito en el mercado de centros de datos que compensa los desafíos en los sectores industrial y médico. La presencia de la compañía en los mercados de Equipos de Semiconductores, Industrial y Médico, Computación de Centros de Datos, y Telecomunicaciones y Redes contribuye aún más a la diversificación en diferentes industrias. Reforzando este compromiso, la adquisición de Airity Technologies amplió la gama de aplicaciones objetivo de la compañía dentro de los mercados de Equipos de Semiconductores e Industrial y Médico a través de tecnologías y productos de conversión de energía de alto voltaje.",4725946,USD,SMART,STK,True,"[{'name': 'aeis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aeis-FY24-10-K.html'}, {'name': 'aeis-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aeis-Q324-10-Q.html'}]",IN2
SWK,industrial,industrial_diversification,US8545021011,STANLEY BLACK & DECKER INC,28,"Contribuye al tema de Diversificación Industrial al ofrecer una amplia cartera de herramientas y soluciones industriales en diversos sectores, lo que permite diversas aplicaciones y alcance de mercado.","La estrategia comercial de Stanley Black & Decker demuestra la diversificación industrial a través de su amplia cartera de herramientas manuales, herramientas eléctricas, productos para exteriores y soluciones de fijación de ingeniería. La estrategia a largo plazo de la empresa se centra en un crecimiento orgánico que supere los promedios del mercado y la industria, junto con la diversificación geográfica y de clientes para promover un crecimiento financiero sostenible. Además, la empresa ha remodelado su cartera para enfatizar sus posiciones de liderazgo en los mercados de herramientas y exteriores y de fijación de ingeniería.",73354293,USD,SMART,STK,True,"[{'name': 'swk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/swk-Q324-10-Q.html'}, {'name': 'swk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/swk-FY24-10-K.html'}]",IN2
AVY,industrial,industrial_diversification,US0536111091,AVERY DENNISON CORP,29,"Opera en una diversa gama de segmentos industriales, proporcionando materiales y soluciones esenciales que respaldan diversas necesidades de fabricación y aplicación.",,4694,USD,SMART,STK,True,,IN2
BWA,industrial,industrial_diversification,US0997241064,BORGWARNER INC,30,"Se dedica a la expansión y ampliación de líneas de productos industriales y segmentos de mercado, contribuyendo a un panorama industrial más variado y resiliente.",,5336,USD,SMART,STK,True,,IN2
PNR,industrial,industrial_diversification,IE00BLS09M33,PENTAIR PLC,31,Contribuye a la diversificación industrial al ofrecer una amplia gama de soluciones de gestión de agua y fluidos y productos industriales en diversos segmentos de mercado.,"Pentair está comprometido con la diversificación industrial a través de varias vías. La empresa opera en tres segmentos: Flujo, Soluciones de Agua y Piscinas, clasificando sus operaciones según los tipos de productos y los mercados atendidos. Pentair también está buscando oportunidades específicas de productos y mercados geográficos, tanto dentro como fuera de los EE. UU., invirtiendo en investigación y desarrollo junto con ventas y marketing para penetrar en estos mercados. Además, Pentair está haciendo la transición de clientes de menor margen y monitoreando proyectos en los sectores de alimentos y bebidas e infraestructura, lo que indica esfuerzos para gestionar los riesgos sectoriales y explorar diferentes vías de negocio.",153068487,USD,SMART,STK,True,"[{'name': 'pnr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pnr-FY24-10-K.html'}, {'name': 'pnr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pnr-Q324-10-Q.html'}]",IN2
TMPV,industrial,industrial_diversification,INE155A01022,TATA MOTORS PASSENGER VEHICL,32,"Se dedica a la fabricación y venta de una diversa gama de vehículos, incluidos automóviles de pasajeros, vehículos comerciales y vehículos de defensa, contribuyendo así a una mayor diversificación industrial.",,94127580,INR,NSE,STK,False,,IN2
CLF,industrial,industrial_diversification,US1858991011,CLEVELAND-CLIFFS INC,33,"Participa en una variedad de actividades industriales, sirviendo a un amplio espectro de necesidades de fabricación e infraestructura.",,286030327,USD,SMART,STK,True,,IN2
GGG,industrial,industrial_diversification,US3841091040,GRACO INC,34,"Fabrica y comercializa una amplia gama de sistemas y equipos de manejo de fluidos, sirviendo a diversas aplicaciones industriales en múltiples sectores.","La empresa demuestra su compromiso con la diversificación industrial a través de adquisiciones estratégicas y el aprovechamiento de productos existentes en nuevos mercados. Específicamente, la adquisición de Color Service, un fabricante de sistemas de dosificación de precisión utilizados en diversas industrias como la textil, caucho, cosmética, plásticos y alimentos, amplía la cartera de la empresa más allá de sus negocios tradicionales. Esta adquisición introduce experiencia en tecnología de dosificación gravimétrica, mejorando la medición de materiales y la eficiencia de la producción, y se alinea con la estrategia de la empresa de expandir la distribución y las tecnologías a través de adquisiciones, así como de aprovechar productos en mercados de usuarios finales en crecimiento.",7563,USD,SMART,STK,True,"[{'name': 'ggg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ggg-Q125-10-Q.html'}]",IN2
ITT,industrial,industrial_diversification,US45073V1089,ITT INC,35,"Opera en diversos mercados finales industriales, proporcionando una amplia cartera de productos y servicios altamente diseñados.","El compromiso de ITT con la diversificación industrial es evidente a través de sus iniciativas estratégicas, que incluyen actividades de fusiones y adquisiciones dirigidas a entre 500 y 700 millones de dólares, y la expansión a nuevos mercados geográficos como Arabia Saudita e India. La inversión de la empresa en VIDAR, un motor industrial revolucionario, marca su entrada en un nuevo mercado abordable de 6.000 millones de dólares centrado en el ahorro de energía y la reducción de emisiones. Además, ITT está impulsando la diversificación a través de adquisiciones como kSARIA y Svanehøj, lo que refleja un esfuerzo estratégico para ampliar su cartera y explorar nuevos mercados.",233010383,USD,SMART,STK,True,,IN2
CTS,industrial,industrial_diversification,US1265011056,CTS CORP,36,"Se dedica a desarrollar y fabricar una amplia gama de productos y soluciones que sirven a diversos mercados industriales, contribuyendo a aplicaciones generalizadas en varios sectores.","CTS se enfoca estratégicamente en la diversificación industrial, lo que se demuestra en sus esfuerzos por expandirse a los mercados médico, industrial, aeroespacial y de defensa. Esta estrategia de diversificación es evidente en la ampliación de la base de clientes de la empresa para reducir su dependencia del sector del transporte, con ventas diversificadas en mercados finales que constituyen una parte significativa de los ingresos totales. El compromiso de la empresa con la diversificación se ve aún más subrayado por su búsqueda activa de crecimiento tanto orgánico como a través de adquisiciones estratégicas, así como por la mención explícita de la diversificación como una prioridad estratégica.",6190,USD,SMART,STK,True,,IN2
MSI,industrial,industrial_diversification,US6200763075,MOTOROLA SOLUTIONS INC,37,Proporciona soluciones de comunicación y videovigilancia críticas para la misión que permiten la eficiencia operativa y la seguridad en una amplia gama de sectores industriales.,,81581011,USD,SMART,STK,True,,IN2
CLH,industrial,industrial_diversification,US1844961078,CLEAN HARBORS INC,38,"Ofrece una amplia gama de servicios ambientales e industriales en diversos sectores, lo que demuestra un modelo de negocio diversificado dentro del panorama industrial.",,267700,USD,SMART,STK,True,,IN2
HEI,industrial,industrial_diversification,US4228061093,HEICO CORP,39,"Demuestra una fuerte diversificación industrial al proporcionar una amplia gama de productos y servicios especializados en múltiples sectores industriales, como aeroespacial, defensa y electrónica.",,754990,USD,SMART,STK,False,,IN2
WLK,industrial,industrial_diversification,US9604131022,WESTLAKE CORP,40,"Participa en una variedad de actividades comerciales en múltiples sectores industriales, demostrando diversificación industrial en su alcance operativo.",,30351217,USD,SMART,STK,True,,IN2
FLS,industrial,industrial_diversification,US34354P1057,FLOWSERVE CORP,41,"Contribuye a varios sectores industriales al proporcionar productos y servicios de control de flujo, lo que permite una amplia gama de aplicaciones operativas en diferentes industrias.","Flowserve enfatiza la 'diversificación' como un componente clave de su 'Estrategia 3D', que también incluye la descarbonización y la digitalización, para acelerar el crecimiento. El plan estratégico de la empresa equilibra iniciativas a corto y largo plazo, con la diversificación desempeñando un papel central en la expansión a nuevos mercados finales. Esta 'Estrategia 3D' destaca los esfuerzos continuos de la empresa para integrar la diversificación en su modelo de negocio principal.",6477749,USD,SMART,STK,True,"[{'name': 'fls-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fls-Q324-10-Q.html'}, {'name': 'fls-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fls-Q125-10-Q.html'}]",IN2
LFUS,industrial,industrial_diversification,US5370081045,LITTELFUSE INC,42,"Soporta una amplia gama de aplicaciones industriales al proporcionar soluciones esenciales de protección de circuitos, control de potencia y detección, permitiendo así la diversificación en varios sectores industriales.","Littelfuse se enfoca en diversificar su exposición de mercado dentro del segmento de Transporte asegurando nuevos diseños en sectores como la agricultura. Esta estrategia de diversificación tiene como objetivo expandir el alcance de la empresa más allá del transporte tradicional, apuntando a nuevos clientes y mercados. La empresa también se enfoca en escalar la excelencia operativa, apoyando aún más sus esfuerzos de diversificación.",271184,USD,SMART,STK,True,,IN2
CMC,industrial,industrial_diversification,US2017231034,COMMERCIAL METALS CO,43,"Soporta una amplia gama de sectores industriales a través de la producción y el suministro de productos metálicos esenciales, lo que permite diversas actividades de fabricación y construcción.",,5811,USD,SMART,STK,True,,IN2
GTES,industrial,industrial_diversification,GB00BD9G2S12,GATES INDUSTRIAL CORP PLC,44,"Opera en diversos sectores industriales, proporcionando una amplia gama de soluciones de transmisión de potencia y potencia fluida a múltiples aplicaciones.","Gates enfatiza que la diversificación de su modelo de negocio es una estrategia para limitar la exposición a tendencias en cualquier mercado final único. Esto se logra ofreciendo una amplia cartera de productos a diversos clientes de canales de reemplazo y fabricantes de equipos originales en numerosos mercados finales, incluidos automotriz, industrial, energético y de movilidad personal. Una parte significativa de las ventas se genera a partir de canales de reemplazo, que atienden a una gran base de equipos instalados con un ciclo de mantenimiento natural, lo que reduce aún más la susceptibilidad a las tendencias del mercado.",304032101,USD,SMART,STK,True,"[{'name': 'gtes-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gtes-FY24-10-K.html'}]",IN2
GT,industrial,industrial_diversification,US3825501014,GOODYEAR TIRE & RUBBER CO,45,"Fabrica una diversa cartera de neumáticos y productos relacionados que sirven a diversos sectores industriales, incluyendo el transporte comercial, la agricultura, la construcción y las operaciones mineras.",,7830,USD,SMART,STK,True,,IN2
BKR,industrial,industrial_diversification,US05722G1004,BAKER HUGHES CO,46,Implica ampliar su alcance operativo y su oferta de productos más allá de sus segmentos tradicionales para servir a una gama más amplia de mercados industriales.,"Baker Hughes se identifica como una empresa de tecnología energética que mantiene una cartera amplia y diversificada de tecnologías y servicios en toda la cadena de valor energética e industrial. La empresa vende productos y servicios principalmente en los mercados globales de petróleo y gas, dentro de los segmentos upstream, midstream y downstream, así como en mercados industriales más amplios y de nuevas energías. Si bien la cartera de Baker Hughes abarca tanto los sectores energético como el industrial, no hay información específica sobre tecnologías únicas o enfoques exclusivos en su estrategia de diversificación.",281316445,USD,SMART,STK,True,"[{'name': 'bkr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bkr-FY24-10-K.html'}, {'name': 'bkr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q324-10-Q.html'}]",IN2
KWR,industrial,industrial_diversification,US7473161070,QUAKER CHEMICAL CORPORATION,47,"Opera en varios segmentos industriales, alineándose con el tema de Diversificación Industrial.","KWR demuestra su enfoque en la diversificación industrial a través de iniciativas estratégicas, incluyendo adquisiciones como Dipsol, IKV y Sutai, destinadas a expandir su mercado abordable. La compañía está invirtiendo en capacidades de fabricación e innovación a través de su I+D global para ayudar a los clientes en la fabricación de metales rentable, segura y sostenible. La cartera de KWR incluye soluciones avanzadas, que representan aproximadamente el 20% de los ingresos totales, las cuales están experimentando tasas de crecimiento más altas.",2009860,USD,SMART,STK,True,,IN2
BLDR,industrial,industrial_diversification,US12008R1077,BUILDERS FIRSTSOURCE INC,48,Apoya la diversificación industrial al suministrar una amplia gama de materiales y componentes de construcción para diversos proyectos de construcción y remodelación en diferentes segmentos del mercado.,,34851874,USD,SMART,STK,True,,IN2
NUE,industrial,industrial_diversification,US6703461052,NUCOR CORP,49,"Soporta una amplia gama de aplicaciones industriales a través de sus actividades comerciales principales, permitiendo la diversificación en varios sectores.",,10557,USD,SMART,STK,True,,IN2
HUBB,industrial,industrial_diversification,US4435106079,HUBBELL INC,50,Contribuye al panorama industrial más amplio a través de sus operaciones diversificadas en varios sectores industriales.,,216386790,USD,SMART,STK,True,,IN2
ESE,industrial,industrial_diversification,US2963151046,ESCO TECHNOLOGIES INC,51,"Opera en múltiples sectores industriales, proporcionando una diversa gama de productos y soluciones de alta ingeniería para mercados de servicios públicos, aeroespacial y de defensa, y comercial e industrial.","El énfasis estratégico de la compañía en la diversificación industrial se demuestra a través de la finalización de la adquisición de Maritime y la desinversión de VACCO, que marcan un paso adelante en su estrategia de cartera. La adquisición de Maritime amplía las ofertas de productos y expande la presencia de la compañía en el mercado de la Marina, mientras que la desinversión de VACCO permite un enfoque más claro en los mercados finales de aeronaves y de la Marina. Estas acciones reflejan los esfuerzos de la compañía para remodelar su negocio y entrar en nuevos mercados, lo que indica un cambio estratégico hacia la diversificación.",6929,USD,SMART,STK,True,,IN2
PCAR,industrial,industrial_diversification,US6937181088,PACCAR INC,52,Opera con un enfoque diversificado en varios segmentos industriales.,,272992,USD,SMART,STK,True,,IN2
AYI,industrial,industrial_diversification,US00508Y1029,ACUITY INC,53,Se enfoca en ampliar su alcance operativo dentro del sector industrial.,,13838371,USD,SMART,STK,True,,IN2
ESI,industrial,industrial_diversification,US28618M1062,ELEMENT SOLUTIONS INC,54,Opera un modelo de negocio diversificado en múltiples aplicaciones industriales.,"Element Solutions participa en múltiples mercados finales, incluyendo electrónica de consumo, electrónica de potencia, fabricación de semiconductores, infraestructura de comunicaciones y almacenamiento de datos, sistemas automotrices, acabado de superficies industriales y energía offshore. Esto se logra a través de sus segmentos de Electrónica e Industrial y Especialidades, suministrando una amplia gama de soluciones que mejoran el rendimiento de los productos cotidianos. La estrategia de la empresa equilibra la excelencia operativa y la asignación prudente de capital en estos diversos sectores industriales.",351659552,USD,SMART,STK,True,"[{'name': 'esi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/esi-Q225-10-Q.html'}]",IN2
VMC,industrial,industrial_diversification,US9291601097,VULCAN MATERIALS CO,55,"Suministra agregados y materiales de construcción críticos utilizados en diversos sectores industriales y de infraestructura, sustentando así el desarrollo económico diverso.",,13515,USD,SMART,STK,True,,IN2
HUN,industrial,industrial_diversification,US4470111075,HUNTSMAN CORP,56,"Opera en una amplia gama de sectores industriales, mostrando una cartera diversificada de productos y aplicaciones.",,33175911,USD,SMART,STK,False,,IN2
NGVT,industrial,industrial_diversification,US45688C1071,INGEVITY CORP,57,Contribuye a la diversificación industrial mediante el suministro de productos químicos y materiales especializados que sirven a una amplia gama de aplicaciones en múltiples sectores industriales.,"Ingevity Corporation se centra en reducir la ciclicidad y mejorar la rentabilidad, como lo demuestran las acciones estratégicas tomadas para reposicionar su segmento de Químicos de Rendimiento. Estas acciones implican el crecimiento de líneas de productos rentables como las tecnologías de carreteras y la diversificación de las corrientes de materias primas a ácidos grasos no basados en CTO. La empresa también está reduciendo la exposición a mercados finales de menor margen dentro de su línea de productos de especialidades industriales, como adhesivos, tintas de publicación y aplicaciones en campos petroleros. Además, los productos y tecnologías de Ingevity, utilizados en diversas aplicaciones, incluidos adhesivos, agroquímicos, pavimentación de asfalto y componentes automotrices, reflejan su compromiso con la diversificación industrial.",231125622,USD,SMART,STK,True,"[{'name': 'ngvt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ngvt-Q324-10-Q.html'}, {'name': 'ngvt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ngvt-FY24-10-K.html'}]",IN2
