symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
SMPL,HEA,consumer and retail,healthconscious_brand,US82900L1026,SIMPLY GOOD FOODS CO/THE,11,Se centra en el desarrollo y comercialización de productos alimenticios que se alinean con las preferencias de los consumidores preocupados por la salud y las necesidades dietéticas.,"The Simply Good Foods Company enfatiza la marca consciente de la salud a través de su misión de liderar el movimiento de refrigerios nutritivos con marcas confiables que ofrecen refrigerios y sustitutos de comidas mejores para usted. Esto es evidente en su cartera de marcas como Quest, Atkins y OWYN, que atienden a consumidores que buscan opciones altas en proteínas, bajas en azúcar, bajas en carbohidratos y de origen vegetal. La empresa tiene como objetivo capitalizar el cambio generacional hacia estos productos, lo que se demuestra aún más con la colocación de Quest en los pasillos de salud y bienestar en las tiendas y la adquisición de OWYN para expandir las ofertas de origen vegetal.",281858134,USD,SMART,STK,"[{'name': 'smpl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smpl-Q225-10-Q.html'}, {'name': 'smpl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smpl-Q125-10-Q.html'}, {'name': 'smpl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smpl-Q325-10-Q.html'}, {'name': 'smpl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/smpl-FY24-10-K.html'}]"
KHC,HEA,consumer and retail,healthconscious_brand,US5007541064,KRAFT HEINZ CO/THE,12,"Se enfoca en el desarrollo y comercialización de productos alimenticios que se alinean con las preferencias de los consumidores por opciones más saludables, incluyendo reducción de azúcar, sodio e ingredientes artificiales, para satisfacer las tendencias dietéticas en evolución.","Kraft Heinz está cada vez más comprometida con la marca consciente de la salud, como lo demuestra su enfoque en opciones 'mejores para ti' y la reformulación de productos. La empresa está invirtiendo en I+D e innovación para renovar productos, buscando una mayor superioridad del producto y escalando su sistema de crecimiento de marca. Esto se refleja en el crecimiento de Heinz Simply Tomato Ketchup y la cartera de Primal Kitchen, junto con su compromiso de eliminar los colorantes artificiales de su cartera en EE. UU. y el lanzamiento de Heinz TK Zero con cero azúcar y sal añadidos, lo que indica una respuesta a la demanda de los consumidores de opciones más saludables.",199169586,USD,SMART,STK,
K,HEA,consumer and retail,healthconscious_brand,US4878361082,KELLANOVA,13,Se enfoca en el desarrollo y marketing de productos alimenticios que satisfacen las preferencias de salud y bienestar de los consumidores a través de una marca específica y atributos nutricionales.,,8758,USD,VALUE,STK,
GIS,HEA,consumer and retail,healthconscious_brand,US3703341046,GENERAL MILLS INC,14,"Enfatiza el desarrollo y la marca de productos alimenticios que satisfacen las cambiantes preferencias de los consumidores por opciones más saludables, naturales y orgánicas, contribuyendo al mercado más amplio consciente de la salud.","La empresa demuestra su enfoque en la marca orientada a la salud a través de varias iniciativas, incluida la introducción de productos como Cheerios Protein, Progresso Pitmaster y Nature Valley creamy protein, que satisfacen la demanda de los consumidores de más proteínas y fibra. La empresa también está reformulando productos existentes para eliminar colorantes artificiales, alineándose con la creciente preocupación de los consumidores por etiquetas más limpias. Además, la empresa enfatiza los beneficios para la salud, la transparencia de los ingredientes y los atributos de bienestar de sus productos, lo que indica un compromiso para atraer a consumidores preocupados por la salud.",7616,USD,SMART,STK,
PTON,HEA,consumer and retail,healthconscious_brand,US70614W1009,PELOTON INTERACTIVE INC-A,15,"Impulsa el tema de Marca Consciente de la Salud al ofrecer un ecosistema de fitness conectado que proporciona entrenamientos y productos interactivos, alentando a los consumidores a adoptar y mantener estilos de vida activos y saludables.","Peloton se está posicionando estratégicamente como un socio integral de bienestar, pasando de centrarse únicamente en el acondicionamiento físico cardiovascular a abarcar una gama más amplia de comportamientos relacionados con la salud. Esto incluye iniciativas destinadas a maximizar la esperanza de vida de los miembros a través del ejercicio, el sueño, el manejo del estrés y la dieta. La compañía está lanzando iniciativas como la serie Peloton Kitchen y programas de entrenamiento personalizados, al mismo tiempo que invierte en áreas como la meditación y el sueño para el bienestar mental, con el objetivo de empoderar a los miembros para que vivan vidas en forma, fuertes, largas y felices.",385087203,USD,SMART,STK,
FIZZ,HEA,consumer and retail,healthconscious_brand,US6350171061,NATIONAL BEVERAGE CORP,16,"Se enfoca en desarrollar y comercializar bebidas que satisfacen a los consumidores preocupados por la salud, enfatizando productos libres de ingredientes artificiales y promoviendo opciones orientadas al bienestar.","El enfoque de la empresa en la marca consciente de la salud es evidente en sus iniciativas estratégicas, ya que la mayoría de sus marcas, incluidas las aguas con gas, las bebidas energéticas y los jugos, están orientadas a consumidores activos y conscientes de la salud. La estrategia de la empresa implica el desarrollo de bebidas más saludables en respuesta a los cambiantes hábitos de compra de los consumidores y la adaptación de su cartera de bebidas para atraer a los consumidores que buscan alternativas a las bebidas endulzadas artificialmente y altas en calorías. Este enfoque refleja una dedicación a satisfacer las demandas de los consumidores conscientes de la salud.",2016423,USD,SMART,STK,"[{'name': 'fizz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fizz-Q225-10-Q.html'}, {'name': 'fizz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fizz-Q125-10-Q.html'}, {'name': 'fizz-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fizz-Q325-10-Q.html'}]"
PLNT,HEA,consumer and retail,healthconscious_brand,US72703H1014,PLANET FITNESS INC - CL A,17,"Ofrece instalaciones de fitness accesibles y promueve un estilo de vida saludable a través de su marca, dirigido a personas que buscan mejorar su bienestar.",,202114841,USD,SMART,STK,
MKC,HEA,consumer and retail,healthconscious_brand,US5797802064,MCCORMICK & CO-NON VTG SHRS,18,"Se enfoca en el desarrollo y comercialización de especias, condimentos y productos alimenticios que satisfacen a los consumidores preocupados por la salud, enfatizando ingredientes naturales y formulaciones más saludables.","El compromiso de McCormick con el branding consciente de la salud es evidente a través de sus iniciativas estratégicas, que incluyen asociarse con clientes para lanzar nuevos productos y reformular los existentes para alinearse con estilos de vida más saludables. Esto se ve respaldado además por el enfoque de la empresa en actividades de reformulación relacionadas con la hidratación, alimentos funcionales y alto contenido de proteínas, impulsado por los cambios en las preferencias de los consumidores hacia opciones conscientes de la salud. McCormick también está triunfando con clientes innovadores de alto crecimiento en segmentos emergentes relacionados con la salud y el bienestar y está observando actividad de reformulación en toda su base de clientes.",271556,USD,SMART,STK,
KVUE,HEA,consumer and retail,healthconscious_brand,US49177J1025,KENVUE INC,19,"Emplea estrategias de marca que enfatizan los beneficios de salud y bienestar en su cartera de productos de salud para el consumidor, respondiendo a las preferencias cambiantes de los consumidores por opciones conscientes de la salud.",,629043863,USD,SMART,STK,
KR,HEA,consumer and retail,healthconscious_brand,US5010441013,KROGER CO,20,"Enfatiza la promoción y disponibilidad de productos y servicios que satisfacen las preferencias de salud y bienestar del consumidor, influyendo en las decisiones de compra hacia estilos de vida más saludables.",,8908,USD,SMART,STK,
VITL,HEA,consumer and retail,healthconscious_brand,US92847W1036,VITAL FARMS INC,21,"Promueve productos a través de marcas que enfatizan atributos de salud y bienestar, dirigidas a consumidores que priorizan estos factores en sus decisiones de compra.","Vital Farms se alinea con el tema de marca ""consciente de la salud"" al centrarse en las preferencias de los consumidores por etiquetas más limpias, transparencia y abastecimiento ético de alimentos. La empresa enfatiza la conexión con los consumidores a través de valores compartidos y confianza, y se diferencia de los productores tradicionales al producir huevos de una manera única. Vital Farms cree que la creciente demanda de los consumidores de productos transparentes y éticos proporciona una oportunidad de crecimiento a largo plazo.",437449296,USD,SMART,STK,
COCO,HEA,consumer and retail,healthconscious_brand,US92846Q1076,VITA COCO CO INC/THE,22,Se enfoca en desarrollar y comercializar bebidas que atraen a los consumidores preocupados por la salud a través de sus ingredientes naturales y ventajas percibidas para el bienestar.,,522320539,USD,SMART,STK,
CAG,HEA,consumer and retail,healthconscious_brand,US2058871029,CONAGRA BRANDS INC,23,Abarca la marca consciente de la salud dentro de su alcance operativo.,,5402,USD,SMART,STK,
HIMS,HEA,consumer and retail,healthconscious_brand,US4330001060,HIMS & HERS HEALTH INC,24,Se enfoca en esfuerzos de marca que resuenan con los consumidores preocupados por la salud.,,466188387,USD,SMART,STK,
PRMB,HEA,consumer and retail,healthconscious_brand,US7416231022,PRIMO BRANDS CORP,25,Enfatiza los esfuerzos de marca centrados en atraer a consumidores preocupados por la salud.,"El compromiso de Primo Brands con el marketing centrado en la salud es evidente a través de su enfoque en la hidratación saludable, ofreciendo productos diversificados de origen sostenible y nacional. La empresa enfatiza su compromiso con productos de origen responsable en diversos formatos y canales, distribuyéndolos por toda América del Norte. Primo Brands tiene como objetivo aumentar el conocimiento de la marca a través de la participación comunitaria, campañas mediáticas y empaques innovadores, destacando aún más su enfoque en la creación de productos únicos y visualmente atractivos. Este enfoque en la hidratación saludable y el abastecimiento sostenible subraya la alineación de la empresa con las preferencias de los consumidores preocupados por la salud.",740066865,USD,SMART,STK,"[{'name': 'prmb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prmb-Q324-10-Q.html'}, {'name': 'prmb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prmb-Q125-10-Q.html'}, {'name': 'prmb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/prmb-FY24-10-K.html'}]"
UNFI,HEA,consumer and retail,healthconscious_brand,US9111631035,UNITED NATURAL FOODS INC,26,"Se enfoca en la distribución de alimentos naturales, orgánicos y especiales, contribuyendo a la disponibilidad y promoción de productos conscientes de la salud en el mercado.",,6746248,USD,SMART,STK,
PBH,HEA,consumer and retail,healthconscious_brand,US74112D1019,PRESTIGE CONSUMER HEALTHCARE,27,"Emplea estrategias de marca con conciencia de la salud para comercializar sus productos de atención médica al consumidor, alineándose con la demanda de los consumidores de soluciones centradas en el bienestar.",,33175912,USD,SMART,STK,
PIG1,HEA,consumer and retail,healthconscious_brand,IE00BGH1M568,PERRIGO CO PLC,28,Enfatiza la marca de productos de autocuidado diseñados para atraer a consumidores preocupados por la salud.,,140067521,EUR,SMART,STK,
FRPT,HEA,consumer and retail,healthconscious_brand,US3580391056,FRESHPET INC,29,"Se centra en ofrecer productos de alimentos para mascotas frescos y naturales, alineándose con la creciente demanda de los consumidores de opciones de ingredientes más saludables y transparentes en la nutrición de mascotas.","El enfoque de Freshpet en el branding consciente de la salud es evidente en su misión de mejorar la alimentación de las mascotas a través de alimentos frescos y nutritivos, atendiendo a la creciente tendencia de humanización de las mascotas y la demanda de opciones de alimentos para mascotas más saludables. La empresa reconoce las tendencias de los consumidores, incluido un enfoque en la salud y el bienestar, y tiene como objetivo satisfacer la visión de rápido crecimiento entre los dueños de mascotas de que sus mascotas son parte de la familia. Este énfasis en la salud y el bienestar es un aspecto clave del posicionamiento del producto y la misión general de Freshpet.",173148144,USD,SMART,STK,"[{'name': 'frpt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/frpt-FY24-10-K.html'}]"
FLO,HEA,consumer and retail,healthconscious_brand,US3434981011,FLOWERS FOODS INC,30,Opera dentro de una industria donde las preferencias de los consumidores por marcas conscientes de la salud influyen en las estrategias de desarrollo y marketing de productos.,"Flowers Foods demuestra su enfoque en la marca consciente de la salud a través de varias iniciativas estratégicas. La compañía ha visto un aumento en las ventas de sus productos de marca premium y mejores para usted, incluidas opciones orgánicas, Keto y sin gluten. Este compromiso se ve aún más ejemplificado por la adquisición de Simple Mills, una marca natural especializada en bocadillos mejores para usted, e inversiones en Base Culture, conocida por sus productos horneados sin gluten y sin granos. Además, Flowers Foods promueve activamente marcas como Dave's Killer Bread, Canyon Bakehouse y Nature's Own Keto, destacándolas como opciones para consumidores orientados a la salud y el bienestar y señalando una dedicación a satisfacer las necesidades de los consumidores en este segmento a través de la innovación continua.",11913510,USD,SMART,STK,"[{'name': 'flo-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flo-Q224-10-Q.html'}, {'name': 'flo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flo-Q125-10-Q.html'}, {'name': 'flo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/flo-FY24-10-K.html'}]"
4452,HEA,consumer and retail,healthconscious_brand,JP3205800000,KAO CORP,31,Incorpora el Branding Consciente de la Salud dentro de su alcance operativo.,,13905453,JPY,SMART,STK,
