symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
WLK,IN8,industrial,industrial_chemicals,US9604131022,WESTLAKE CORP,11,"Fabrica y suministra una amplia gama de productos químicos industriales, contribuyendo a diversos sectores a través de su producción de productos químicos esenciales.","La participación de Westlake en el tema de Productos Químicos Industriales es evidente a través de su papel significativo como fabricante y comercializador global de materiales esenciales y de rendimiento. El segmento de Materiales Esenciales y de Rendimiento de la empresa, que incluye Westlake North American Vinyls, Cloro-álcali y Derivados, Clorovinilos Europeos y Asiáticos, Olefinas, Polietileno y Epoxi, depende en gran medida de productos químicos industriales. Como segundo mayor productor de cloro-álcali y PVC a nivel mundial, Westlake mantiene una posición de liderazgo en el mercado de clorovinilos, produciendo cantidades sustanciales de productos químicos industriales clave como etileno, PVC, polietileno, epoxi, sosa cáustica, cloro y estireno.",30351217,USD,SMART,STK,"[{'name': 'wlk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wlk-Q125-10-Q.html'}, {'name': 'wlk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wlk-Q324-10-Q.html'}, {'name': 'wlk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wlk-FY24-10-K.html'}]"
MOS,IN8,industrial,industrial_chemicals,US61945C1036,MOSAIC CO/THE,12,"Produce productos químicos industriales como potasa y fosfatos, que son insumos esenciales para el sector agrícola.",,88292752,USD,SMART,STK,
CE,IN8,industrial,industrial_chemicals,US1508701034,CELANESE CORP,13,"Fabrica y comercializa una amplia cartera de productos químicos industriales, incluidos productos de acetilo, materiales de ingeniería e ingredientes especiales, que sirven a diversos mercados de uso final a nivel mundial.","La participación de Celanese en el tema de Productos Químicos Industriales es evidente a través de su posición como productor líder mundial de productos de acetilo, productos químicos intermedios esenciales para casi todas las industrias importantes. Esto está respaldado además por los planes de gasto de capital en curso de la empresa, que van desde $ 300 millones a $ 350 millones en 2025, dirigidos a la expansión de instalaciones y la optimización del uso de energía en varias ubicaciones globales. La amplia cartera de productos de la empresa atiende a diversas aplicaciones de uso final, incluidas la automotriz, aditivos químicos, construcción y más.",32943358,USD,SMART,STK,"[{'name': 'ce-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ce-Q125-10-Q.html'}, {'name': 'ce-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ce-Q324-10-Q.html'}, {'name': 'ce-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ce-Q225-10-Q.html'}]"
ALB,IN8,industrial,industrial_chemicals,US0126531013,ALBEMARLE CORP,14,Contribuye significativamente al sector de productos químicos industriales a través de la producción y suministro de componentes químicos fundamentales vitales para numerosas industrias manufactureras.,,4347,USD,SMART,STK,
CVX,IN8,industrial,industrial_chemicals,US1667641005,CHEVRON CORP,15,"Contribuye al sector a través de su producción de materias primas petroquímicas, que son materiales esenciales para diversos procesos de fabricación de productos químicos industriales.","La participación de Chevron en el tema de Productos Químicos Industriales se demuestra a través de su participación del 50% en CPChem, que Chevron considera un negocio exitoso con posiciones de materia prima ventajosas en la Costa del Golfo de EE. UU. y Medio Oriente. CPChem tiene proyectos de crecimiento en curso en Qatar y Texas, que se espera que se completen alrededor de finales de 2026 o principios de 2027. Además, Chevron está considerando adquirir la mitad restante de CPChem, lo que refleja su interés en los fundamentos a largo plazo del negocio de productos químicos.",5684,USD,SMART,STK,
OLN,IN8,industrial,industrial_chemicals,US6806652052,OLIN CORP,16,"Se enfoca en la producción y distribución de productos químicos industriales fundamentales, sirviendo a un amplio espectro de mercados manufactureros y de consumo a nivel mundial.","La participación de Olin en el tema de Productos Químicos Industriales es significativa, como lo demuestra su papel como fabricante y distribuidor líder de una amplia gama de productos químicos. El segmento de Productos de Cloro-Álcali y Vinilos es central para esta exposición, produciendo productos químicos como cloro, sosa cáustica, dicloruro de etileno y monómero de cloruro de vinilo. Además, el segmento de Epoxi contribuye produciendo materiales y precursores de epoxi, incluyendo aromáticos, cloruro de alilo y epiclorhidrina, lo que demuestra aún más el enfoque de la empresa en productos químicos industriales. Los productos ECU integrados de Olin también juegan un papel en sus negocios de productos químicos.",10799,USD,SMART,STK,"[{'name': 'oln-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oln-Q125-10-Q.html'}, {'name': 'oln-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/oln-FY24-10-K.html'}, {'name': 'oln-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oln-Q324-10-Q.html'}, {'name': 'oln-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oln-Q225-10-Q.html'}]"
1COV,IN8,industrial,industrial_chemicals,DE0006062144,COVESTRO AG,17,"Produce materiales poliméricos de alto rendimiento y sus precursores, sirviendo como un proveedor clave dentro del sector de productos químicos industriales para diversas aplicaciones.",,208908717,EUR,SMART,STK,
AKZA,IN8,industrial,industrial_chemicals,NL0013267909,AKZO NOBEL N.V.,18,"Implica la producción y el suministro de diversos productos químicos industriales esenciales para sus negocios de pinturas, recubrimientos y productos químicos especializados.",,350068526,EUR,SMART,STK,
EMN,IN8,industrial,industrial_chemicals,US2774321002,EASTMAN CHEMICAL CO,19,"Fabrica y suministra una cartera diversa de productos químicos industriales, que sirven a diversos mercados finales y contribuyen a la cadena de suministro química global.","Eastman participa en el sector de los productos químicos industriales a través de su segmento de Intermedios Químicos (CI), que produce y vende productos como acetilos, oxos y plastificantes utilizados en aplicaciones industriales. El enfoque de la empresa en esta área se destaca por las discusiones sobre el negocio de CI que enfrenta desafíos debido a la sobrecapacidad, particularmente de China, y los esfuerzos para mejorar su fortaleza estructural. Además, Eastman está planeando una inversión de etileno a propileno para convertir una de sus unidades de craqueo existentes, con el objetivo de mejorar las ganancias, y también está realizando inversiones para apoyar el crecimiento del mercado en áreas como aplicaciones farmacéuticas y tratamiento de aguas residuales, lo que indica un compromiso para expandir sus capacidades en el espacio de los productos químicos industriales.",6832,USD,SMART,STK,
CF,IN8,industrial,industrial_chemicals,US1252691001,CF INDUSTRIES HOLDINGS INC,20,"Produce y distribuye una amplia gama de productos químicos industriales a base de nitrógeno, esenciales para la productividad agrícola y diversas aplicaciones industriales.","La participación de la compañía en el tema de Productos Químicos Industriales es evidente a través de su producción de amoníaco anhidro, su producto principal, que contiene 82% de nitrógeno y 18% de hidrógeno. La compañía también produce ácido nítrico, un ácido mineral a base de nitrógeno, y licor de urea, que se vende como intermedio químico. Los productos derivados del amoníaco que se venden principalmente a clientes industriales incluyen el fluido de escape diésel (DEF) y el amoníaco acuoso, que se venden principalmente a clientes industriales para usos que incluyen el control de emisiones.",35447205,USD,SMART,STK,"[{'name': 'cf-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cf-Q324-10-Q.html'}, {'name': 'cf-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cf-FY24-10-K.html'}]"
PSX,IN8,industrial,industrial_chemicals,US7185461040,PHILLIPS 66,21,"Produce y suministra una variedad de productos químicos industriales, que son insumos esenciales para numerosos procesos de fabricación e industriales.","La participación de Phillips 66 en el tema de Productos Químicos Industriales se realiza principalmente a través de su segmento de Químicos, que consiste en una inversión de capital del 50% en Chevron Phillips Chemical Company LLC (CPChem). CPChem utiliza GLP y otras materias primas para fabricar petroquímicos, que luego se comercializan, venden o se utilizan como materias primas para plásticos y otros productos químicos. Cabe destacar que la cartera de productos de CPChem incluye etileno y otros productos de olefinas, algunos de los cuales se procesan posteriormente en polietileno, alfa olefinas normales y tuberías de polietileno, así como productos aromáticos y estirénicos, como benceno y ciclohexano.",105669270,USD,SMART,STK,"[{'name': 'psx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psx-Q324-10-Q.html'}, {'name': 'psx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/psx-FY24-10-K.html'}]"
HUN,IN8,industrial,industrial_chemicals,US4470111075,HUNTSMAN CORP,22,"Produce y comercializa una amplia gama de productos químicos industriales, sirviendo como proveedor clave para numerosos sectores de fabricación y procesamiento posteriores a nivel mundial.","Huntsman se identifica como un fabricante mundial de productos químicos orgánicos diversificados, que opera a través de segmentos como Poliuretanos, Productos de Rendimiento y Materiales Avanzados, comercializando productos químicos y formulaciones a fabricantes de productos industriales y de construcción. La empresa también produce MDI, un intermedio químico, y aborda el impacto de los aranceles norteamericanos sobre el MDI y el MDI importado en su negocio. Sin embargo, no hay mención explícita de productos químicos industriales únicos o patentados, ni de contribuciones específicas de ingresos de ellos.",33175911,USD,SMART,STK,"[{'name': 'hun-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hun-Q125-10-Q.html'}, {'name': 'hun-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hun-Q225-10-Q.html'}]"
RPM,IN8,industrial,industrial_chemicals,US7496851038,RPM INTERNATIONAL INC,23,"Fabrica y suministra una gama de productos químicos industriales que forman componentes clave de sus recubrimientos especiales, selladores y materiales de construcción.",,273962,USD,SMART,STK,
POWL,IN8,industrial,industrial_chemicals,US7391281067,POWELL INDUSTRIES INC,24,Opera con relevancia para el tema de los productos químicos industriales.,,273290,USD,SMART,STK,
CC,IN8,industrial,industrial_chemicals,US1638511089,CHEMOURS CO/THE,25,Se dedica a la fabricación y distribución de productos químicos industriales cruciales para una amplia gama de industrias.,"Chemours es un proveedor mundial de productos químicos de alto rendimiento, que ofrece soluciones personalizadas con una amplia gama de productos químicos industriales y especializados para diversos mercados, como refrigeración y aire acondicionado, pinturas y recubrimientos, plásticos, transporte, semiconductores y electrónica de consumo, industria general, y petróleo y gas. Los principales productos de la empresa incluyen refrigerantes, pigmento de dióxido de titanio (TiO2) y resinas de fluoropolímero industrial, lo que destaca el enfoque de la empresa en proporcionar insumos clave para productos y procesos finales en diversas industrias.",196682709,USD,SMART,STK,"[{'name': 'cc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cc-Q324-10-Q.html'}, {'name': 'cc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cc-FY24-10-K.html'}]"
CBT,IN8,industrial,industrial_chemicals,US1270551013,CABOT CORP,26,Implica la producción y el suministro de diversos materiales y productos químicos especializados para diversas aplicaciones industriales.,"La participación de Cabot Corporation en el tema de productos químicos industriales es evidente a través de sus dos segmentos informables: Materiales de Refuerzo y Productos Químicos de Rendimiento. El enfoque de la empresa en la fabricación de productos químicos básicos se ve aún más resaltado por su constante calificación de platino de EcoVadis, que sitúa a Cabot entre el 1% de las empresas de este sector. Este reconocimiento subraya el liderazgo en sostenibilidad y la excelencia operativa de Cabot dentro del panorama de los productos químicos industriales.",5480,USD,SMART,STK,"[{'name': 'cbt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cbt-FY24-10-K.html'}, {'name': 'cbt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbt-Q325-10-Q.html'}]"
ASH,IN8,industrial,industrial_chemicals,US0441861046,ASHLAND INC,27,Desarrolla y fabrica una variedad de productos químicos industriales que son integrales para numerosas aplicaciones en diferentes sectores.,"El compromiso de Ashland con el tema de los Químicos Industriales es evidente a través de su segmento de Intermediarios, que se enfoca en la producción de 1,4 butanodiol (BDO) y derivados relacionados, incluyendo la n-metilpirrolidona. Estos intermedios químicos son esenciales en la producción de polímeros de ingeniería y poliuretanos, así como disolventes de procesos especiales para diversas aplicaciones industriales, incluyendo electrónica, productos farmacéuticos y membranas de filtración de agua. El segmento de Intermediarios representó el 6% y el 8% de las ventas consolidadas totales de Ashland para los tres y seis meses finalizados el 31 de marzo de 2025, respectivamente.",247915706,USD,SMART,STK,"[{'name': 'ash-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ash-Q125-10-Q.html'}, {'name': 'ash-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ash-Q225-10-Q.html'}]"
CLN,IN8,industrial,industrial_chemicals,CH0012142631,CLARIANT AG-REG,28,Desarrolla y suministra una cartera diversa de productos químicos y soluciones especializadas esenciales para diversas aplicaciones industriales y procesos de fabricación.,,2309495,CHF,SMART,STK,
FMC,IN8,industrial,industrial_chemicals,US3024913036,FMC CORP,29,Implica la producción y el suministro de productos químicos industriales críticos para numerosas aplicaciones en diversas industrias.,,7238,USD,SMART,STK,
AXTA,IN8,industrial,industrial_chemicals,BMG0750C1082,AXALTA COATING SYSTEMS LTD,30,Fabrica sistemas avanzados de recubrimiento utilizando una cartera diversa de productos químicos industriales en sus procesos de formulación y producción.,,173253787,USD,SMART,STK,
ESI,IN8,industrial,industrial_chemicals,US28618M1062,ELEMENT SOLUTIONS INC,31,Se enfoca en proporcionar soluciones y productos químicos esenciales para diversas aplicaciones industriales.,"Element Solutions está profundamente involucrada en el tema de Químicos Industriales, principalmente a través de su papel como una empresa líder mundial en productos químicos especializados. La empresa formula y vende productos químicos especializados y tecnologías de procesos de materiales para diversos sectores industriales, con su segmento Industrial y Especializado centrado en mejorar superficies y optimizar procesos industriales. Estas soluciones atienden a industrias clave como la electrónica de consumo, sistemas automotrices y energía en alta mar, con productos que incluyen sistemas químicos que protegen y decoran superficies de metal y plástico. Este enfoque es evidente en la dedicación de la empresa a investigar, formular y vender estas soluciones químicas especializadas.",351659552,USD,SMART,STK,"[{'name': 'esi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/esi-Q225-10-Q.html'}, {'name': 'esi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/esi-Q125-10-Q.html'}]"
OXY,IN8,industrial,industrial_chemicals,US6745991058,OCCIDENTAL PETROLEUM CORP,32,Mantiene una presencia dentro del sector de Productos Químicos Industriales.,,10880,USD,SMART,STK,
DAR,IN8,industrial,industrial_chemicals,US2372661015,DARLING INGREDIENTS INC,33,Produce ingredientes que se utilizan como materias primas o componentes intermedios en diversas aplicaciones químicas industriales.,"La participación de la Compañía en el tema de Productos Químicos Industriales es evidente a través de su producción y comercialización de aceites y grasas no alimentarias, que se venden a terceros para su uso como ingredientes en diversas aplicaciones industriales dentro de la industria oleoquímica. Adicionalmente, la compañía convierte animales muertos y ciertos subproductos animales en fuentes de energía de bajo grado para uso industrial. Como desarrollador y productor de ingredientes naturales sostenibles, la compañía crea una gama de ingredientes y soluciones especializadas personalizadas para clientes de múltiples industrias, incluido el sector industrial.",6604385,USD,SMART,STK,"[{'name': 'dar-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dar-Q225-10-Q.html'}, {'name': 'dar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dar-Q324-10-Q.html'}, {'name': 'dar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dar-FY24-10-K.html'}]"
NEU,IN8,industrial,industrial_chemicals,US6515871076,NEWMARKET CORP,34,Contribuye al sector de productos químicos industriales mediante el desarrollo y la fabricación de aditivos de rendimiento críticos para combustibles y lubricantes.,"La participación de la empresa en el tema de Productos Químicos Industriales se deriva de su producción y venta de aditivos para petróleo y materiales especiales, incluidos aditivos para lubricantes y combustibles. Esto se ve respaldado además por la presentación de informes de la empresa sobre ventas de aditivos para petróleo y beneficios operativos, así como por los resultados financieros de su negocio AMPAC dentro del segmento de Materiales Especiales. La empresa también reconoce y monitorea los peligros y los costos de las materias primas comunes a los negocios químicos, lo que indica su participación en la producción de productos químicos industriales, aunque no hay una mención explícita de recursos dedicados o tecnología patentada en este sector.",7002,USD,SMART,STK,"[{'name': 'neu-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/neu-Q125-10-Q.html'}, {'name': 'neu-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/neu-Q225-10-Q.html'}]"
HWKN,IN8,industrial,industrial_chemicals,US4202611095,HAWKINS INC,35,"Es un proveedor importante de productos químicos industriales, suministrando productos esenciales para una amplia gama de aplicaciones industriales.","La conexión de la empresa con el tema de los Productos Químicos Industriales se deriva de su generación de ingresos a través de la venta de productos químicos y ingredientes especializados a clientes industriales. Las operaciones de la empresa incluyen la formulación, fabricación, mezcla y distribución de estos productos químicos. La empresa divulga las ventas de productos básicos a granel como un porcentaje de los dólares de ventas totales de su segmento Industrial.",270320,USD,SMART,STK,"[{'name': 'hwkn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hwkn-Q125-10-Q.html'}, {'name': 'hwkn-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hwkn-Q325-10-Q.html'}, {'name': 'hwkn-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hwkn-FY25-10-K.html'}, {'name': 'hwkn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hwkn-Q225-10-Q.html'}]"
ECL,IN8,industrial,industrial_chemicals,US2788651006,ECOLAB INC,36,"Proporciona una amplia gama de productos químicos industriales como parte de sus soluciones de agua, higiene y prevención de infecciones, sirviendo a diversos sectores a nivel mundial.",,6682,USD,SMART,STK,
KWR,IN8,industrial,industrial_chemicals,US7473161070,QUAKER CHEMICAL CORPORATION,37,Contribuye al sector de productos químicos industriales proporcionando productos químicos para diversas aplicaciones industriales.,"La prominencia de Quaker Houghton en la industria de productos químicos industriales se deriva de su posición como líder mundial en fluidos de procesos industriales. El liderazgo de la empresa en esta área señala una inversión y un enfoque significativos en el servicio al sector de productos químicos industriales. Si bien la empresa se identifica como líder mundial, la ausencia de contribuciones específicas de ingresos sugiere que esta área representa una parte notable, pero no necesariamente dominante, de su negocio general.",2009860,USD,SMART,STK,"[{'name': 'kwr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kwr-Q324-10-Q.html'}, {'name': 'kwr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kwr-Q225-10-Q.html'}]"
NGVT,IN8,industrial,industrial_chemicals,US45688C1071,INGEVITY CORP,38,Se enfoca en actividades dentro del sector de Químicos Industriales.,"La participación de Ingevity en el tema de Productos Químicos Industriales es evidente a través de sus diversas aplicaciones de productos, que incluyen adhesivos, agroquímicos, pavimentación asfáltica, bioplásticos, recubrimientos, elastómeros, lubricantes y componentes automotrices. El segmento de Productos Químicos de Rendimiento de la empresa se enfoca en tecnologías para carreteras, particularmente la pavimentación asfáltica, y está en proceso de reposicionamiento para priorizar líneas de productos rentables como las tecnologías para carreteras, al tiempo que diversifica su flujo de materias primas para incluir ácidos grasos no basados en CTO. Este reposicionamiento implica la exploración de alternativas estratégicas para su línea de productos de Especialidades Industriales y la refinería de Charleston Norte, así como la gestión de inventario de CTO de alto costo y el ajuste de precios para mantener la competitividad, lo que refleja un enfoque estratégico en la optimización de su cartera de productos químicos industriales.",231125622,USD,SMART,STK,"[{'name': 'ngvt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ngvt-Q125-10-Q.html'}]"
IOSP,IN8,industrial,industrial_chemicals,US45768S1050,INNOSPEC INC,39,Proporciona diversos productos químicos utilizados en aplicaciones industriales.,,37867088,USD,SMART,STK,
